,Date,Hour,Unit_Consumption,Time,Full_Date,Day_of_Week_Num,Day_of_Week,Weekend,Holiday,AM_PM,Time_of_Day
242,11,2,50,2:00,2023-04-11,1,Tuesday,N,N,AM,Late_Night
243,11,3,50,3:00,2023-04-11,1,Tuesday,N,N,AM,Late_Night
244,11,4,50,4:00,2023-04-11,1,Tuesday,N,N,AM,Late_Night
245,11,5,50,5:00,2023-04-11,1,Tuesday,N,N,AM,Late_Night
246,11,6,50,6:00,2023-04-11,1,Tuesday,N,N,AM,Morning
247,11,7,100,7:00,2023-04-11,1,Tuesday,N,N,AM,Morning
248,11,8,50,8:00,2023-04-11,1,Tuesday,N,N,AM,Morning
249,11,9,150,9:00,2023-04-11,1,Tuesday,N,N,AM,Morning
250,11,10,100,10:00,2023-04-11,1,Tuesday,N,N,AM,Morning
251,11,11,200,11:00,2023-04-11,1,Tuesday,N,N,AM,Morning
252,11,12,150,12:00,2023-04-11,1,Tuesday,N,N,PM,Afternoon
253,11,13,350,13:00,2023-04-11,1,Tuesday,N,N,PM,Afternoon
254,11,14,200,14:00,2023-04-11,1,Tuesday,N,N,PM,Afternoon
255,11,15,100,15:00,2023-04-11,1,Tuesday,N,N,PM,Afternoon
256,11,16,100,16:00,2023-04-11,1,Tuesday,N,N,PM,Afternoon
257,11,17,100,17:00,2023-04-11,1,Tuesday,N,N,PM,Afternoon
258,11,18,150,18:00,2023-04-11,1,Tuesday,N,N,PM,Night
259,11,19,100,19:00,2023-04-11,1,Tuesday,N,N,PM,Night
260,11,20,250,20:00,2023-04-11,1,Tuesday,N,N,PM,Night
261,11,21,100,21:00,2023-04-11,1,Tuesday,N,N,PM,Night
262,11,22,250,22:00,2023-04-11,1,Tuesday,N,N,PM,Night
263,11,23,250,23:00,2023-04-11,1,Tuesday,N,N,PM,Night
264,12,0,100,0:00,2023-04-12,2,Wednesday,N,N,AM,Late_Night
265,12,1,100,1:00,2023-04-12,2,Wednesday,N,N,AM,Late_Night
266,12,2,50,2:00,2023-04-12,2,Wednesday,N,N,AM,Late_Night
267,12,3,0,3:00,2023-04-12,2,Wednesday,N,N,AM,Late_Night
268,12,4,50,4:00,2023-04-12,2,Wednesday,N,N,AM,Late_Night
269,12,5,50,5:00,2023-04-12,2,Wednesday,N,N,AM,Late_Night
270,12,6,50,6:00,2023-04-12,2,Wednesday,N,N,AM,Morning
271,12,7,100,7:00,2023-04-12,2,Wednesday,N,N,AM,Morning
272,12,8,100,8:00,2023-04-12,2,Wednesday,N,N,AM,Morning
273,12,9,350,9:00,2023-04-12,2,Wednesday,N,N,AM,Morning
274,12,10,150,10:00,2023-04-12,2,Wednesday,N,N,AM,Morning
275,12,11,100,11:00,2023-04-12,2,Wednesday,N,N,AM,Morning
276,12,12,300,12:00,2023-04-12,2,Wednesday,N,N,PM,Afternoon
277,12,13,250,13:00,2023-04-12,2,Wednesday,N,N,PM,Afternoon
278,12,14,100,14:00,2023-04-12,2,Wednesday,N,N,PM,Afternoon
279,12,15,150,15:00,2023-04-12,2,Wednesday,N,N,PM,Afternoon
280,12,16,350,16:00,2023-04-12,2,Wednesday,N,N,PM,Afternoon
281,12,17,250,17:00,2023-04-12,2,Wednesday,N,N,PM,Afternoon
282,12,18,200,18:00,2023-04-12,2,Wednesday,N,N,PM,Night
283,12,19,250,19:00,2023-04-12,2,Wednesday,N,N,PM,Night
284,12,20,100,20:00,2023-04-12,2,Wednesday,N,N,PM,Night
285,12,21,300,21:00,2023-04-12,2,Wednesday,N,N,PM,Night
286,12,22,250,22:00,2023-04-12,2,Wednesday,N,N,PM,Night
287,12,23,250,23:00,2023-04-12,2,Wednesday,N,N,PM,Night
288,13,0,100,0:00,2023-04-13,3,Thursday,N,N,AM,Late_Night
289,13,1,100,1:00,2023-04-13,3,Thursday,N,N,AM,Late_Night
290,13,2,50,2:00,2023-04-13,3,Thursday,N,N,AM,Late_Night
291,13,3,50,3:00,2023-04-13,3,Thursday,N,N,AM,Late_Night
292,13,4,50,4:00,2023-04-13,3,Thursday,N,N,AM,Late_Night
293,13,5,50,5:00,2023-04-13,3,Thursday,N,N,AM,Late_Night
294,13,6,250,6:00,2023-04-13,3,Thursday,N,N,AM,Morning
295,13,7,100,7:00,2023-04-13,3,Thursday,N,N,AM,Morning
296,13,8,150,8:00,2023-04-13,3,Thursday,N,N,AM,Morning
297,13,9,100,9:00,2023-04-13,3,Thursday,N,N,AM,Morning
298,13,10,250,10:00,2023-04-13,3,Thursday,N,N,AM,Morning
299,13,11,100,11:00,2023-04-13,3,Thursday,N,N,AM,Morning
300,13,12,100,12:00,2023-04-13,3,Thursday,N,N,PM,Afternoon
301,13,13,200,13:00,2023-04-13,3,Thursday,N,N,PM,Afternoon
302,13,14,150,14:00,2023-04-13,3,Thursday,N,N,PM,Afternoon
303,13,15,150,15:00,2023-04-13,3,Thursday,N,N,PM,Afternoon
304,13,16,200,16:00,2023-04-13,3,Thursday,N,N,PM,Afternoon
305,13,17,150,17:00,2023-04-13,3,Thursday,N,N,PM,Afternoon
306,13,18,200,18:00,2023-04-13,3,Thursday,N,N,PM,Night
307,13,19,200,19:00,2023-04-13,3,Thursday,N,N,PM,Night
